teams,total_goals,total_matches,total_citizenships,height,weight,pos,bday,sidejobs,importance
2,26,90,1,161,40,midfielder,1956-01-25,2,12
1,3,70,1,168,55,midfielder,1959-12-23,1,1
3,48,206,1,175,64,midfielder,1968-10-25,1,42
1,13,79,1,165,62,midfielder,1970-01-25,1,10
1,23,38,1,170,65,midfielder,1970-09-09,1,1
1,0,173,1,173,65,goalkeeper,1971-09-07,1,16
4,0,274,1,174,72,goalkeeper,1972-01-25,1,68
1,6,18,1,165,58,midfielder,1972-09-20,1,1
1,100,204,1,157,61,forward,1972-10-23,1,17
7,40,355,1,179,74,centre-back,1972-12-22,1,126
1,21,91,1,169,66,midfielder,1973-02-12,1,2
8,54,354,1,164,58,midfielder,1973-02-26,2,24
14,60,314,1,167,55,midfielder,1973-04-05,2,56
6,58,544,1,157,66,defender,1973-04-07,2,84
2,6,143,1,164,54,defender,1973-05-15,1,2
1,55,152,1,166,63,forward,1973-07-13,1,1
7,9,200,1,162,50,defender,1974-07-03,1,7
1,60,176,1,165,59,forward,1974-10-07,1,13
9,598,607,1,164,57,forward,1975-02-08,1,153
2,131,306,1,157,56,midfielder,1975-10-11,1,28
2,19,82,1,168,57,midfielder,1976-02-13,1,2
4,10,173,1,168,54,midfielder,1976-02-28,1,12
3,60,103,1,165,63,goalkeeper,1976-04-20,1,9
3,38,168,1,163,58,defender,1976-05-28,1,12
20,12,1172,1,157,61,centre-back,1976-08-23,2,280
6,23,351,1,162,53,defender,1977-01-22,1,24
1,28,125,1,163,55,defender,1977-04-04,1,5
9,84,357,1,172,63,defender,1977-05-31,1,90
6,10,126,1,162,50,midfielder,1977-10-13,2,30
5,34,241,1,165,57,midfielder,1977-10-19,1,35
6,27,190,1,162,53,midfielder,1978-03-03,1,108
5,21,307,1,170,55,defender,1978-03-07,1,5
1,0,54,1,171,68,goalkeeper,1978-03-20,1,5
2,57,87,1,174,66,goalkeeper,1978-05-02,1,2
3,146,200,1,165,55,forward,1978-08-21,1,15
6,240,615,1,165,55,midfielder,1978-09-06,1,282
8,0,441,1,175,71,goalkeeper,1978-11-10,1,264
6,135,207,1,163,54,forward,1978-11-16,1,108
2,54,68,1,170,65,attacker,1979-02-10,1,2
3,43,141,1,152,48,midfielder,1979-03-03,1,3
3,14,114,1,160,50,midfielder,1979-06-11,1,3
1,1,20,1,165,59,defender,1979-06-11,1,4
14,208,578,1,160,58,midfielder,1979-06-18,2,168
6,77,448,1,157,64,defender,1979-07-25,1,90
8,582,990,1,179,66,forward,1979-09-04,2,160
1,21,170,1,172,68,defender,1979-11-29,1,3
2,46,86,1,164,54,attacker,1979-12-13,2,6
6,48,298,1,157,59,centre-back,1980-01-18,2,72
20,4,368,1,157,75,goalkeeper,1980-02-27,2,120
6,89,360,1,162,52,midfielder,1980-06-08,1,84
1,4,96,1,170,62,defender,1980-07-30,1,2
2,255,127,1,165,58,goalkeeper,1980-10-06,1,2
2,39,473,1,167,56,midfielder,1980-11-21,1,6
4,231,339,1,172,66,forward,1981-01-31,1,40
2,0,36,1,165,63,defender,1981-02-25,1,20
1,1,21,1,174,66,defender,1981-04-13,1,1
5,17,206,1,157,65,defender,1981-06-17,1,60
3,131,242,1,163,57,forward,1981-07-01,1,15
12,276,430,1,160,52,forward,1981-07-21,1,48
5,28,286,1,157,65,midfielder,1981-08-03,1,80
1,3,41,1,164,55,defender,1981-10-05,1,8
1,4,146,1,169,60,defender,1982-01-16,1,1
1,9,18,1,158,52,midfielder,1982-03-09,1,37
4,9,132,1,165,57,defender,1982-03-10,1,16
12,308,544,1,166,55,forward,1982-04-04,2,84
1,3,22,1,170,60,defender,1982-04-23,1,3
3,25,108,1,172,62,midfielder,1982-06-23,1,15
1,4,50,1,166,55,midfielder,1982-06-29,1,5
3,133,251,1,165,55,midfielder,1982-07-09,1,120
2,2,12,1,167,55,midfielder,1982-07-28,1,14
2,7,84,1,167,57,defender,1982-09-01,1,10
2,52,226,1,170,60,centre-back,1982-09-09,1,40
2,32,57,1,163,55,attacker,1982-09-30,1,4
3,4,106,1,168,62,midfielder,1982-09-30,1,3
5,158,308,1,157,60,forward,1982-11-09,1,65
3,85,157,1,159,53,forward,1982-11-26,1,18
3,1,187,1,166,57,defender,1982-12-18,1,15
2,162,191,1,166,53,forward,1983-02-16,1,18
2,40,94,1,160,60,attacker,1983-03-08,1,2
5,155,333,1,154,50,midfielder,1983-03-14,1,25
2,1,19,1,163,56,midfielder,1983-03-15,1,14
1,1,93,1,164,54,defender,1983-03-24,1,2
3,45,98,1,157,56,forward,1983-03-26,1,132
2,76,150,1,178,65,forward,1983-03-26,1,2
4,404,752,1,157,61,forward,1983-06-15,1,36
5,7,104,1,178,70,midfielder,1983-07-27,1,15
2,238,156,1,181,73,goalkeeper,1983-07-29,1,2
2,59,351,1,160,48,midfielder,1983-09-02,1,18
3,0,102,1,178,73,defender,1984-01-17,1,9
2,8,104,1,173,66,centre-back,1984-01-22,1,12
13,163,214,1,167,52,forward,1984-02-08,1,104
4,5,122,1,167,58,midfielder,1984-02-09,1,4
3,11,114,1,164,55,midfielder,1984-02-13,1,21
1,1,22,1,169,54,defender,1984-02-23,1,4
1,116,154,1,179,65,forward,1984-02-27,1,29
4,54,216,1,157,49,midfielder,1984-03-03,2,56
3,42,103,1,159,52,forward,1984-03-12,1,12
2,38,52,1,170,67,midfielder,1984-03-16,1,16
1,4,133,1,169,56,defender,1984-03-18,1,5
4,66,326,1,165,52,midfielder,1984-04-29,1,36
3,33,200,1,161,52,defender,1984-05-02,1,117
9,7,67,1,171,72,defender,1984-05-02,1,135
3,3,79,1,167,60,defender,1984-05-08,1,3
2,58,136,1,168,55,goalkeeper,1984-05-27,1,4
1,3,106,1,168,50,defender,1984-06-21,1,1
6,78,507,1,176,75,midfielder,1984-08-02,1,156
2,6,34,2,163,55,goalkeeper,1984-11-04,1,10
4,22,62,1,174,68,forward,1984-11-28,1,60
4,0,26,1,170,61,goalkeeper,1984-12-02,1,36
6,66,164,1,157,52,midfielder,1985-01-28,1,258
12,228,418,1,165,62,forward,1985-02-07,2,96
6,33,267,1,174,67,defender,1985-02-08,1,30
4,0,176,1,158,53,defender,1985-02-18,1,4
2,30,124,1,168,66,midfielder,1985-02-24,1,2
8,70,286,1,173,62,midfielder,1985-03-19,1,216
6,9,152,1,170,48,defender,1985-04-13,1,54
1,3,38,1,168,70,midfielder,1985-04-30,1,1
8,0,363,1,170,61,goalkeeper,1985-05-04,1,64
3,13,221,1,166,52,midfielder,1985-05-11,1,6
2,47,106,1,173,62,winger,1985-05-11,1,28
9,59,172,1,171,63,forward,1985-05-15,1,252
10,426,582,2,168,61,forward,1985-05-16,1,270
12,0,440,1,178,73,goalkeeper,1985-05-18,1,144
1,47,58,1,155,45,forward,1985-06-08,1,1
2,88,151,1,167,57,forward,1985-06-26,1,26
1,3,70,1,167,60,midfielder,1985-07-09,1,3
1,9,20,1,157,50,forward,1985-09-23,1,41
4,44,140,1,172,65,forward,1985-09-24,1,28
14,0,255,1,175,66,goalkeeper,1985-10-19,1,252
2,44,141,1,170,61,forward,1985-10-28,1,50
5,69,253,1,170,67,midfielder,1985-11-18,1,110
3,83,135,1,165,57,midfielder,1985-11-27,1,51
12,42,36,2,169,63,goalkeeper,1986-01-18,1,108
7,10,218,1,168,60,midfielder,1986-02-02,1,42
5,36,146,1,171,56,midfielder,1986-03-08,1,110
4,2,118,1,168,60,defender,1986-03-20,1,4
2,24,100,1,165,62,midfielder,1986-03-26,1,12
4,52,204,1,157,51,midfielder,1986-04-09,1,28
5,56,150,1,166,65,forward,1986-04-20,1,20
2,0,46,1,171,62,defender,1986-05-18,1,20
6,72,110,1,168,62,midfielder,1986-06-19,1,60
2,1,150,1,173,57,defender,1986-07-01,1,4
4,48,130,1,158,51,forward,1986-07-02,1,16
2,34,71,1,160,59,forward,1986-07-15,1,26
18,88,756,2,174,71,defender,1986-08-12,1,108
3,68,135,1,167,60,winger,1986-08-13,1,60
1,1,210,1,163,56,defender,1986-08-22,1,2
3,7,121,1,160,60,defender,1986-09-04,1,3
3,0,181,1,170,64,goalkeeper,1986-09-04,1,117
9,49,249,1,168,58,winger,1986-09-14,1,81
3,53,234,1,166,55,midfielder,1986-10-06,1,3
3,0,124,1,175,68,goalkeeper,1986-10-17,1,69
1,0,35,1,160,55,fullback,1986-10-22,1,20
5,68,181,1,164,61,forward,1986-10-24,1,15
8,142,572,1,175,66,defender,1986-11-21,1,72
1,0,52,1,166,59,defender,1986-12-17,1,1
1,0,62,1,166,51,fullback,1986-12-19,1,9
1,0,8,1,170,60,goalkeeper,1987-01-12,1,6
1,1,85,1,163,58,defender,1987-02-20,1,2
5,33,195,1,167,55,midfielder,1987-02-25,1,5
6,24,215,1,174,65,defender,1987-03-26,1,42
4,34,139,1,160,55,forward,1987-03-28,1,16
2,104,226,1,164,59,forward,1987-04-06,1,10
22,242,534,1,157,54,midfielder,1987-04-09,1,550
1,9,60,1,168,64,defender,1987-04-21,1,14
4,16,138,1,170,61,midfielder,1987-05-03,1,20
3,21,88,1,171,67,midfielder,1987-05-26,1,6
2,31,49,1,170,62,forward,1987-06-17,1,22
1,5,61,1,176,67,defender,1987-06-26,1,10
10,9,100,1,157,66,defender,1987-07-12,1,100
5,132,226,1,168,60,forward,1987-07-15,1,210
5,32,189,1,164,62,midfielder,1987-09-11,1,5
1,15,22,1,161,55,attacker,1987-09-17,1,1
4,22,110,1,161,53,midfielder,1987-09-29,1,72
3,128,366,1,168,66,defender,1987-10-01,1,21
4,18,352,2,173,60,defender,1987-10-10,1,20
3,37,119,1,165,57,midfielder,1987-10-15,1,117
3,13,78,1,163,60,attacker,1987-10-28,1,3
2,9,39,1,173,60,midfielder,1987-11-27,1,20
2,4,4,2,168,57,defender,1988-01-05,1,8
1,3,85,1,179,71,defender,1988-01-13,1,8
1,80,89,1,176,67,attacker,1988-01-21,1,1
9,74,347,1,167,57,forward,1988-01-22,1,153
3,13,160,1,174,60,defender,1988-01-31,1,42
8,0,56,1,173,62,forward,1988-02-04,2,144
3,3,97,1,165,55,defender,1988-02-17,1,3
5,97,180,1,170,63,forward,1988-02-29,1,30
5,11,176,1,168,61,defender,1988-03-14,1,35
3,23,138,1,169,65,midfielder,1988-03-23,1,24
2,19,90,1,167,58,forward,1988-04-04,1,12
3,1,39,1,157,67,defender,1988-04-20,1,21
6,147,282,1,173,66,forward,1988-05-22,1,96
3,25,172,1,170,57,midfielder,1988-06-13,1,21
3,19,112,1,167,56,midfielder,1988-07-03,1,3
6,18,180,1,172,63,defender,1988-08-29,1,30
5,7,103,1,166,60,defender,1988-09-08,1,5
2,3,26,1,167,61,midfielder,1988-10-12,1,20
1,0,91,1,158,50,midfielder,1988-11-01,1,1
1,1,10,1,167,59,forward,1988-11-30,1,2
2,8,80,1,168,59,midfielder,1988-12-05,1,80
4,13,200,1,162,52,defender,1989-01-08,1,4
6,12,64,1,165,56,defender,1989-01-18,1,54
2,31,109,1,165,59,forward,1989-01-24,1,74
4,5,70,1,160,58,defender,1989-01-25,1,56
5,10,131,1,168,58,defender,1989-03-27,1,80
1,12,60,1,165,55,midfielder,1989-03-30,1,1
4,177,122,1,171,68,goalkeeper,1989-05-06,1,4
2,67,56,1,175,64,goalkeeper,1989-05-12,1,2
7,74,194,1,162,51,midfielder,1989-05-14,1,56
8,6,218,1,173,54,defender,1989-05-22,2,96
6,40,161,1,174,64,forward,1989-06-26,1,54
24,153,249,1,170,62,forward,1989-07-02,3,1128
2,24,104,1,169,60,attacker,1989-07-27,1,2
10,152,300,1,165,57,midfielder,1989-07-29,1,270
4,6,40,1,172,62,midfielder,1989-08-20,1,12
18,0,414,1,175,68,centre-back,1989-09-08,1,360
7,75,238,1,171,64,midfielder,1989-09-28,1,189
1,0,22,1,172,64,midfielder,1989-11-04,1,2
2,8,29,1,156,50,defender,1989-11-09,1,2
1,12,62,1,170,60,forward,1989-12-01,1,3
1,2,45,1,161,56,defender,1989-12-31,1,4
1,1,20,1,163,53,midfielder,1990-01-14,1,1
10,54,404,2,174,64,defender,1990-01-23,1,150
1,4,29,1,161,55,attacker,1990-02-07,1,2
4,5,111,1,157,65,midfielder,1990-02-11,1,60
2,33,115,1,166,58,midfielder,1990-02-15,1,12
1,31,100,1,172,60,forward,1990-02-18,1,17
2,15,113,1,171,62,defender,1990-02-27,1,36
2,15,84,1,174,60,midfielder,1990-03-03,1,2
4,68,93,1,167,55,forward,1990-03-15,1,32
4,16,150,1,164,54,midfielder,1990-03-30,1,8
1,0,92,1,165,50,defender,1990-04-01,1,1
4,58,53,1,175,63,goalkeeper,1990-04-03,1,20
8,86,254,1,157,72,midfielder,1990-04-09,1,104
5,25,99,1,157,59,midfielder,1990-04-17,1,50
10,94,250,1,174,62,midfielder,1990-04-23,1,260
4,213,353,1,174,63,forward,1990-04-23,1,72
3,2,83,1,157,61,defender,1990-05-03,1,27
3,0,143,1,168,71,goalkeeper,1990-05-30,1,33
1,100,800,1,187,70,centre-back,1990-07-20,1,26
3,3,51,1,160,51,defender,1990-08-13,1,3
3,9,115,1,165,54,defender,1990-08-26,1,39
1,0,6,1,157,52,midfielder,1990-09-02,1,8
2,1,27,1,173,62,defender,1990-09-19,1,10
1,1,3,1,158,48,midfielder,1990-09-27,1,37
2,19,62,1,168,62,forward,1990-10-05,1,72
4,20,164,1,171,59,centre-back,1990-10-17,1,164
2,18,36,1,167,62,midfielder,1990-12-11,1,18
2,16,38,2,155,52,midfielder,1990-12-13,1,16
3,3,6,1,160,50,defender,1990-12-15,1,3
4,86,155,1,162,57,forward,1990-12-25,1,76
10,44,163,1,168,53,forward,1991-01-24,1,110
4,26,162,1,163,54,forward,1991-01-25,1,80
6,0,109,1,180,71,goalkeeper,1991-02-09,1,144
1,2,16,1,170,57,midfielder,1991-03-09,1,1
7,46,280,1,172,60,forward,1991-03-11,1,147
8,7,113,1,178,62,defender,1991-03-27,1,48
1,0,6,1,164,55,defender,1991-04-03,1,12
6,73,178,1,168,58,defender,1991-04-04,1,30
4,5,129,1,173,64,defender,1991-04-12,1,4
2,0,36,1,173,61,goalkeeper,1991-04-30,1,14
6,70,210,1,168,59,forward,1991-05-06,1,66
8,22,321,1,160,52,defender,1991-05-07,1,96
2,22,70,1,172,65,forward,1991-05-26,1,2
1,4,28,1,164,57,midfielder,1991-06-03,1,3
5,10,40,1,158,55,midfielder,1991-06-16,1,70
3,12,61,1,171,56,midfielder,1991-06-22,1,27
12,106,234,1,164,63,forward,1991-06-25,1,168
2,0,6,1,182,65,goalkeeper,1991-07-23,1,34
1,0,2,1,175,60,defender,1991-08-05,1,8
3,3,42,1,165,54,defender,1991-08-07,1,30
3,0,23,1,157,75,goalkeeper,1991-08-13,1,51
1,17,37,1,157,60,midfielder,1991-08-21,1,6
1,1,2,1,165,61,attacker,1991-09-02,1,2
2,6,22,1,166,67,forward,1991-09-28,2,6
2,8,151,1,163,61,defender,1991-09-30,1,2
1,28,83,1,157,55,forward,1991-10-20,1,14
8,4,102,2,167,59,forward,1991-10-23,1,72
3,7,33,1,161,53,forward,1991-11-06,1,24
8,18,150,1,172,58,midfielder,1991-11-17,1,112
7,41,249,1,170,56,defender,1991-12-14,1,140
3,116,195,1,156,55,forward,1991-12-15,1,15
3,10,24,1,170,60,forward,1992-01-07,1,15
1,104,39,1,173,67,goalkeeper,1992-01-08,1,1
3,4,133,1,168,64,midfielder,1992-01-27,1,6
4,0,52,1,157,60,defender,1992-01-30,1,76
9,65,156,1,157,48,midfielder,1992-02-07,1,54
8,31,129,1,166,60,forward,1992-02-08,1,48
5,84,183,1,182,61,forward,1992-02-28,1,60
4,6,100,1,172,56,midfielder,1992-03-10,1,12
2,7,120,1,171,65,defender,1992-03-28,1,2
5,5,144,1,174,55,defender,1992-04-06,1,60
1,0,10,1,176,68,goalkeeper,1992-04-17,1,11
6,107,233,1,171,50,midfielder,1992-04-18,1,168
7,49,298,1,174,61,midfielder,1992-05-09,1,84
1,1,12,1,183,68,forward,1992-05-13,1,8
1,1,18,1,166,50,midfielder,1992-05-28,1,1
2,0,106,1,168,53,defender,1992-05-29,1,2
5,62,215,1,171,64,forward,1992-06-01,1,60
2,31,62,1,171,75,forward,1992-06-09,1,38
2,9,85,1,172,57,midfielder,1992-07-30,1,10
1,1,3,1,160,61,forward,1992-08-15,1,10
1,0,10,1,179,64,midfielder,1992-09-11,1,5
2,2,55,1,166,56,midfielder,1992-09-16,1,2
2,0,6,1,171,60,midfielder,1992-09-25,1,6
6,23,163,1,163,62,defender,1992-09-29,1,114
2,22,79,1,172,62,midfielder,1992-09-30,1,2
5,0,23,1,173,68,goalkeeper,1992-10-14,1,90
6,3,159,1,172,67,defender,1992-10-24,1,96
2,0,17,1,160,50,midfielder,1992-11-04,1,6
1,1,114,1,169,65,goalkeeper,1992-11-04,1,12
8,23,125,1,165,54,defender,1992-11-24,1,120
1,3,74,1,168,61,defender,1992-11-27,1,1
1,13,48,1,164,55,forward,1992-12-08,1,7
2,0,20,1,167,62,midfielder,1992-12-14,1,12
2,25,152,1,165,66,midfielder,1992-12-18,1,2
1,3,124,1,165,57,defender,1993-01-02,1,1
3,17,172,1,157,64,defender,1993-01-02,1,63
6,11,105,1,173,58,defender,1993-02-08,1,42
5,58,137,1,164,58,forward,1993-02-10,1,20
8,10,136,1,168,58,midfielder,1993-02-24,1,104
4,4,8,2,174,63,midfielder,1993-03-01,1,20
1,0,24,1,170,79,defender,1993-03-02,1,1
5,54,130,1,155,53,forward,1993-03-18,1,205
2,1,21,1,171,58,fullback,1993-03-22,1,30
1,1,9,1,168,56,forward,1993-04-09,1,5
1,16,104,1,162,50,attacker,1993-04-10,1,1
3,1,143,1,172,62,defender,1993-04-11,1,3
3,14,47,1,165,51,attacker,1993-05-02,1,3
2,57,95,1,161,47,forward,1993-05-05,1,10
1,0,9,1,163,53,defender,1993-05-08,1,0
1,13,87,1,157,59,midfielder,1993-05-11,1,20
4,0,24,1,157,71,goalkeeper,1993-05-11,1,60
1,3,19,1,168,58,centre-back,1993-05-12,1,8
3,11,109,1,176,65,defender,1993-05-25,1,27
9,1,173,1,173,60,goalkeeper,1993-06-05,1,117
5,47,224,1,171,62,midfielder,1993-06-19,1,25
2,12,40,1,159,52,midfielder,1993-06-26,1,22
8,8,98,1,167,62,midfielder,1993-06-28,1,56
1,19,16,1,166,60,goalkeeper,1993-07-09,1,3
9,22,96,1,179,60,midfielder,1993-07-12,1,99
2,7,21,1,168,59,midfielder,1993-07-27,1,26
1,2,6,1,157,47,midfielder,1993-07-30,1,35
2,0,20,1,155,51,midfielder,1993-08-07,1,2
2,24,81,1,164,52,attacker,1993-09-07,1,2
5,20,227,1,157,67,defender,1993-09-08,1,115
3,3,65,1,175,59,defender,1993-09-17,1,27
1,5,93,1,167,60,defender,1993-09-24,1,1
4,47,124,1,153,60,attacker,1993-09-26,1,8
2,5,78,1,157,48,midfielder,1993-10-17,1,2
2,32,109,1,157,74,forward,1993-11-24,1,42
2,89,103,1,170,59,forward,1994-01-02,1,28
2,16,44,1,173,67,winger,1994-02-04,1,36
8,68,160,1,175,65,forward,1994-02-05,1,112
2,5,104,1,162,54,midfielder,1994-02-09,1,6
1,0,40,1,161,51,midfielder,1994-03-06,1,1
2,14,34,1,168,61,attacker,1994-03-20,1,2
2,13,58,1,172,68,attacker,1994-03-22,1,2
7,36,189,1,173,52,midfielder,1994-04-14,1,175
7,24,307,1,173,65,defender,1994-04-15,1,77
3,94,121,1,159,52,attacker,1994-04-17,1,6
2,2,47,1,168,50,midfielder,1994-04-22,1,2
3,19,84,1,157,65,forward,1994-05-07,1,51
4,40,85,1,177,58,forward,1994-05-11,1,16
5,5,75,1,178,58,defender,1994-05-11,1,15
5,42,138,1,171,61,midfielder,1994-06-18,1,80
2,1,59,1,165,60,midfielder,1994-07-17,1,16
6,20,163,1,173,59,midfielder,1994-07-20,1,72
5,46,97,1,166,54,forward,1994-08-15,1,65
2,4,8,2,173,63,forward,1994-08-20,1,34
4,8,32,1,158,51,forward,1994-09-02,1,52
1,2,20,1,173,62,forward,1994-09-29,1,1
2,0,3,1,175,76,goalkeeper,1994-10-19,1,18
2,25,33,1,168,66,forward,1994-11-24,1,16
3,8,23,1,172,64,midfielder,1994-12-14,1,18
1,1,48,1,158,48,defender,1994-12-23,1,1
6,58,110,1,160,56,forward,1995-01-01,1,12
1,6,75,1,165,56,midfielder,1995-01-11,1,1
1,2,3,1,165,54,attacker,1995-01-17,1,1
3,6,78,1,165,56,midfielder,1995-01-25,1,3
3,0,16,1,175,60,goalkeeper,1995-01-28,1,30
6,2,38,1,157,50,midfielder,1995-02-06,1,12
7,41,160,1,171,59,forward,1995-02-15,1,182
1,1,4,1,157,65,forward,1995-02-19,1,16
1,5,14,1,160,48,defender,1995-03-10,1,5
7,5,144,1,174,60,defender,1995-03-16,1,70
2,18,41,1,168,64,forward,1995-04-01,1,30
2,62,35,1,177,73,goalkeeper,1995-04-12,1,2
3,1,9,1,164,58,forward,1995-06-11,1,63
3,7,108,1,165,65,midfielder,1995-07-04,1,9
1,0,31,1,163,52,defender,1995-10-23,1,1
1,11,66,1,175,68,defender,1995-11-09,1,1
2,45,119,1,173,60,forward,1995-11-14,1,8
1,10,43,1,174,72,midfielder,1996-02-05,1,22
2,26,128,1,157,48,midfielder,1996-03-10,1,2
2,14,18,1,164,61,midfielder,1996-03-19,1,20
6,104,169,1,157,70,forward,1996-06-01,1,72
5,10,45,1,173,56,midfielder,1996-06-23,1,15
5,290,335,1,175,62,forward,1996-07-15,1,125
1,0,8,1,165,55,midfielder,1996-08-24,1,3
1,0,4,1,163,51,forward,1996-10-26,1,6
1,3,44,1,171,62,attacker,1996-11-10,1,1
2,2,67,1,166,55,defender,1996-12-27,1,4
5,54,159,1,160,57,forward,1997-01-22,1,35
4,18,81,1,162,53,midfielder,1997-01-31,1,140
1,4,30,1,160,56,midfielder,1997-02-06,1,2
2,28,9,1,181,63,goalkeeper,1997-02-12,1,4
1,3,56,1,154,45,midfielder,1997-02-17,1,1
2,0,4,2,157,62,defender,1997-03-03,1,2
12,0,96,2,167,56,defender,1997-04-10,1,36
8,13,201,1,160,53,defender,1997-05-03,1,72
2,55,24,1,167,57,goalkeeper,1997-05-09,1,2
2,0,56,1,169,54,attacker,1997-05-20,1,2
2,0,18,2,157,50,midfielder,1997-07-16,1,2
2,0,16,2,157,50.2,defender,1997-07-16,1,2
10,57,179,1,160,47,midfielder,1997-08-18,1,90
1,20,14,1,167,57,goalkeeper,1997-09-18,1,1
1,0,25,1,180,70,forward,1997-11-07,1,4
2,74,49,1,170,58,goalkeeper,1997-12-13,1,6
2,1,44,1,165,54,defender,1997-12-31,1,2
1,1,31,1,166,58,defender,1998-01-22,1,3
1,137,59,1,168,60,goalkeeper,1998-03-23,1,1
1,1,26,1,170,60,defender,1998-04-07,1,1
1,1,6,1,160,48,midfielder,1998-05-13,1,6
1,3,22,1,160,58,defender,1999-02-23,1,2
1,0,25,1,156,62,midfielder,2000-02-18,1,4
1,0,16,1,158,55,midfielder,2000-03-06,1,1
2,1,9,1,171,62,forward,2000-06-28,1,12